"Name","Set","Type","Keywords","Cost","VP","Goods","Military","Production","Explore","Phase II","Strength","Phase III","Trade","Consume","Phase V","Other"
"New Galactic Order","Race For the Galaxy","Development",,6,,,,,,,2,"Military +2",,,,
"New Military Tactics","Race For the Galaxy","Development",,1,1,,,,,,,"Discard from tableau for Military +3 this phase",,,,
"New Sparta","Race For the Galaxy","World",,2,1,,"X",,,,2,"Military +2",,,,
"New Survivalists","Race For the Galaxy","World",,1,1,"Novelty","X","Production",,,,,,"Consume Novelty good for 1 card","Novelty Good",
"New Vinland","Race For the Galaxy","World",,2,1,"Novelty",,"Production",,,,,,"Consume any good for 2 cards","Novelty Good",
"Old Earth","Race For the Galaxy","World",,3,2,,,,,,,,"Trade any +1 card","Consume up to 2 goods for 1 VP each",,
"Outlaw World","Race For the Galaxy","World",,1,1,,"X",,,,,,,"Consume any good for 1 VP and 1 card",,
"Pan Galactic League","Race For the Galaxy","Development",,6,,,,,,,-1,"Military -1",,,"Draw 1 card for each Genes card in tableau",
"Pan-Galactic Research","Rebel vs. Imperium","Development",,6,4,,,,"See +2, Keep +1","Development cost -1",,,,,"Draw 2 cards",
"Pilgrimage World","Race For the Galaxy","World",,0,2,,,,,,,,,"Consume all remaining goods for 1 VP each minus 1 VP",,
"Pirate World","Race For the Galaxy","World",,3,2,"Novelty","X","Windfall",,,,,"Trade Novelty good on this world for +3 cards",,,
"Plague World","Race For the Galaxy","World",,3,,"Genes",,"Production",,,,,,"Consume Genes good for 1 VP and 1 card","Genes Good",
"Pre-Sentient Race","Race For the Galaxy","World",,2,1,"Genes",,"Windfall",,,,,,,,
"Primitive Rebel World","Rebel vs. Imperium","World","Rebel",1,1,"Novelty","X","Windfall",,,,"Discard card for military +1 this phase",,,,
"Prospecting Guild","Rebel vs. Imperium","Development",,6,,,,"Production","Explore into Hand",,,,"Trade any +1 card","Consume Rare for 1 VP and 1 card",,
"Prosperous World","Race For the Galaxy","World",,3,2,"Novelty",,"Production",,,,,,"Consume any good for 1 VP","Novelty Good",
"Public Works","Race For the Galaxy","Development",,1,1,,,,,"After development draw 1 card",,,,"Consume any good for 1 VP",,
"R and D Crash Program","Rebel vs. Imperium","Development",,1,,,,,,"Discard for -3 development cost",,,,"Discard card to draw a new card",,
"Radioactive World","Race For the Galaxy","World",,2,1,"Rare",,"Windfall",,,,,,,,
"Rebel Alliance","Rebel vs. Imperium","Development","Rebel",6,,,,,,,,"May place a rebel military world as a non-military world at cost -2; May take over military worlds in Imperium tableau adding military +2 for each rebel world in your tableau",,,,
"Rebel Base","Race For the Galaxy","World","Rebel",6,6,,"X",,,,,,,,,
"Rebel Cantina","Rebel vs. Imperium","World","Rebel",2,,,,,,,,"May place any non-Alien military world as a non-military world at full price (before discounts)",,,"Draw 1 card for each rebel world in your tableau",
"Rebel Colony","Gathering Storm","World","Rebel",4,4,,"X",,,,,,,"Consume any good for 1 VP",,
"Rebel Convict Mines","Rebel vs. Imperium","World","Rebel",2,1,"Rare","X","Windfall",,,,"Discard card for military +1 this phase",,,,
"Rebel Fuel Cache","Race For the Galaxy","World","Rebel",1,1,"Rare","X","Windfall",,,,,,,,
"Rebel Homeworld","Race For the Galaxy","World","Rebel",7,7,,"X",,,,,,,,,
"Rebel Miners","Race For the Galaxy","World","Rebel",2,1,"Rare","X","Production",,,,,,,"Rare Good",
"Rebel Outpost","Race For the Galaxy","World","Rebel",5,5,,"X",,,,1,"Military +1",,,,
"Rebel Pact","Rebel vs. Imperium","Development","Rebel",1,1,,,,"Explore into Hand",,,"Cost -2 when using a Military into Non-Military Power; +2 defense against attack for each rebel world in tableau, +1 for each other military world",,,,
"Rebel Stronghold","Rebel vs. Imperium","World","Rebel",9,9,,"X",,,,,,,,,
"Rebel Sympathizers","Gathering Storm","World","Rebel",1,1,"Novelty","X","Windfall",,,,,,,"Draw 1 card when produce Novelty good on this world",
"Rebel Underground","Race For the Galaxy","World","Rebel",3,4,,"X",,,,,,,,"Draw 1 card",
"Rebel Warrior Race","Race For the Galaxy","World","Rebel",3,2,"Genes","X","Windfall",,,1,"Military +1",,,,
"Refugee World","Race For the Galaxy","World",,0,1,"Novelty",,"Windfall",,,-1,"Military -1",,,,
"Replicant Robots","Race For the Galaxy","Development",,4,2,,,,,,,"Any cost -2",,,,
"Reptilian Uplift Race","Race For the Galaxy","World","UpliftX",2,2,"Genes","X","Windfall",,,,,,,,
"Research Labs","Race For the Galaxy","Development",,4,2,,,,"Keep +1",,,,,"Consume Genes for 1 VP","Draw one cards for each Alien good produced",
"Runaway Robots","Race For the Galaxy","World",,1,1,"Rare","X","Windfall",,,,,,,"Draw 1 card when produce Rare good on this world",
"Secluded World","Race For the Galaxy","World",,1,1,"Novelty",,"Production",,,,,,"Consume any good for 1 card","Novelty Good",
"Separatist Colony","Gathering Storm","World",,2,1,,,,"See +2",,1,"Military +1",,,,
"Smuggling Lair","Gathering Storm","World",,1,1,"Rare","X","Windfall",,,,,,"Consume any good for 2 cards",,
"Smuggling World","Rebel vs. Imperium","World",,1,0,"Novelty",,"Production","Explore into Hand",,,"Place Novelty cost -1/military +1",,,"Novelty Good",
"Space Mercenaries","Gathering Storm","Development",,1,0,,,,,,1,"Military +1; Discard card for Military +1 two times",,,,
"Space Marines","Race For the Galaxy","Development",,2,1,,,,,,2,"Military +2",,,,
"Space Port","Race For the Galaxy","World",,2,1,"Novelty",,"Production",,,,,"Trade Rare +2 card",,"Novelty Good",
"Spice World","Race For the Galaxy","World",,2,1,"Novelty",,"Production",,,,,"Trade Novelty +2 card",,"Novelty Good",
"Star Nomad Lair","Race For the Galaxy","World",,1,1,"Novelty","X","Windfall","See +1",,,,"Trade Novelty good on this world for +1 card",,,
"Terraformed World","Race For the Galaxy","World",,5,5,,,,,,,,,"Consume any good for 1 VP",,
"Terraforming Guild","Gathering Storm","Development","Terraforming",6,,,,,,,,"After settle draw 1 card",,,"Produce on any windfall world",
"Terraforming Robots","Race For the Galaxy","Development","Terraforming",3,2,,,,,,,"After settle draw 1 card",,"Consume Rare good for 1 VP and 1 card",,
"Last Uplift Gnarssh","Race For the Galaxy","World","UpliftX",1,,"Genes","X","Windfall",,,,,,,,
"Tourist World","Race For the Galaxy","World",,4,2,,,,,,,,,"Consume any 2 goods for 3 VP",,
"Trade League","Race For the Galaxy","Development",,6,,,,,,,,,"Trade any +1 card","Consume any good to draw card's equal to goods trade value + trade bonuses",,
"Trading Outpost","Rebel vs. Imperium","World",,1,1,,,,"Explore into Hand",,,,"Trade any +2 cards",,,
"Universal Symbionts","Rebel vs. Imperium","World",,3,1,"Genes",,"Windfall",,,,,,"Consume Genes for 1 VP and 1 card three times","Produce on other Genes Windfall",
"Uplift Code","Rebel vs. Imperium","Development","Uplift",6,,,,,,,,,,,"Draw 2 cards for each gene symbol uplift world in your tableau",
"Volcanic World","Gathering Storm","World",,2,1,"Rare",,"Production",,,,,,,"Rare Good",
